ChoiceID,ChoiceText,ChoiceNext
b1_1,싸움이야~ 나도 껴야지!,B1_2
b1_2,뭐야 뭐야 무슨 일이에요?,B1_3
b1_3,주먹! 훌륭한 대화 수단이지,RANDOM
b1_4,엄…,RANDOM
b2_1,"어, 설 원 선배다",B2_2
b2_2,그냥 나 혼자 할까…,B2_3
b2_3,먼저 시작하시죠!,B2_4
b2_4,다음,RANDOM
b3_1,사생활은 지켜 줘야지,B3_2
b3_2,너… 이런거 좋아하니?,B3_3
b3_3,다음,RANDOM
b4_1,어디로 갈건데?,B4_2
b4_2,산,B4_3
b4_3,바다,B4_5
b4_4,…그래서?,B4_4
b4_5,다음,RANDOM
b5_1,무시한다.,B5_2
b5_2,전 솔에게 편지를 보낸다.,B5_3
b5_3,아이작에게 편지를 보낸다.,B5_4
b5_4,여기에 똥을 싼 사람이 문제 아닐까요.,RANDOM
b5_5,다음,RANDOM
b6_1,호오…,B6_2
b6_2,이재희의 옆자리에 앉는다.,B6_3
b6_3,장학생들과 같이 뒤쪽에 서있는다.,B6_4
b6_4,다음,RANDOM
b7_1,오직 프롤레타리아 레볼루션 뿐입니다.,B7_2
b7_2,돈은 항상 옳다! 돈이 최고야!,B7_2
b7_3,무시하고 지나간다.,B7_3
b7_4,어쩔티비 저쩔티비~,B7_4
b7_5,한술 더 떠 안물티비 안궁티비~,B7_5
b7_6,다음,RANDOM
b8_1,현실을 알려준다.,B8_2
b8_2,상상력을 발휘해본다.,B8_3
b8_3,다음,RANDOM
b9_1,으음…,B9_2
b9_2,저 아니에요.,B9_3
b9_3,아 글쎄 나 아니라고!!!,B9_4
b9_4,하하 얘 조용히 좀 하렴?,B9_5
b9_5,나서지 않는다.,B9_6
b9_6,다음,RANDOM
b10_1,"어, 저기 뭔가 반짝이는 게…!",B10_2
b10_2,도로 바닥에 버린다.,B10_3
b10_3,목에 차본다.,B10_4
b10_4,큭큭… 내 안의 흑염룡이 날.뛴.다.,B10_5
b10_5,오른쪽 어깨에서 무게를 느낀다.,B10_6
b10_6,왼쪽 어깨에서 무게를 느낀다.,B10_8
b10_7,세상에 마상에.,B10_7
b10_8,세상에 마상에.,B10_9
b10_9,다음,RANDOM
b11_1,저는 모르는 일입니다만?,B11_2
b11_2,그…그래 내가 적격이라니 고마…워!,B11_3
b11_3,무%6=돔황챠~,B11_4
b11_4,마%6=여러분은 꿈을 꾸고 있습니다…,B11_5
b11_5,다음,RANDOM
b12_1,뒷문으로 도망친다.,B12_2
b12_2,옆문으로 도망친다.,B12_3
b12_3,다음,RANDOM
b12_4,다 잊어~,RANDOM
b13_1,마%6=물을 뿌린다. Psy!,B13_2
b13_2,몸으로 불을 덮는다.,B13_3
b13_3,나 완전히 새 됐어,RANDOM
b13_4,저도 냄새 나는 것 같아요. 가까운데…,B13_4
b13_5,군고구마 사먹어야지.,RANDOM
