StoryID,StoryText,StoryNext,StoryResult,StoryInterval,Sprite,AfterInterval,AcvUpdate,EndingTrigger
M1_1,전쟁이 끝났다고 모두가 일상으로 돌아올 수 있는 건 아닙니다.$당신도 아마 잘 알고 있겠죠.$ 대륙을 뒤덮은 전쟁은 영원할 것 같던 제국과 평화롭던 당신의 일상을 송두리째 흔들어 놓았으니까요.,m1_1&m1_2,-,0,null,-,-,0
M1_2,일상. 참 아름다운 단어죠.,m1_3,-,0,null,-,-,0
M1_3,"전쟁이 잦아들었을 때, 아직 어린 아이였던 당신의 곁에 남아있던 건 냉혹한 현실 뿐이었습니다.$연약한 당신을 감싸줄 가족과 따뜻한 집은 모두 사라진 뒤였죠.$그래도 행운이 조금은 남아있던 모양입니다. $정처없이 떠돌던 당신은 어느 노신사의 손에 거둬져 중립지대의 고아원에 맡겨질 수 있었거든요.$혼란한 세상에서 혼자 남겨진 아이가 어떤 취급을 당할지 생각해본다면 정말 다행이라고 할 수 있겠죠.",m1_4,-,0,null,-,-,0
M1_4,"새로운 곳에 적응하는 건 쉽지 않은 일이었지만, 당신은 하나 둘 새로운 생활에 적응해갔습니다.$시간은 한강의 강물처럼 빠르게 흘러갔죠. 한강을 모르시나요?$이 대륙을 가로지르는 큰 강 말예요. 옛 조상들이 ‘가즈아’를 외치며 답을 찾던 신성한 곳이랍니다.$$오늘은 아주 특별한 날입니다.$전 세계의 인재가 모이는 대륙 최고의 교육기관인 아카데미에 입학하는 날이거든요.$ 맞아요 거기. 서울 사이버 아카데미.$서울 사이버 아카데미를 다니고 성공 시대가 시작된다는 말이 노래처럼 들릴 정도로 유명한 곳입니다.",m1_5&m1_6&m1_7,-,0,null,-,-,0
M1_5,"“거기 신입생들! 문 닫습니다!”$$이크. 서둘러야겠군요.$사람들을 따라 당신이 도착한 곳은 고풍스런 홀이었습니다.$넓은 홀 안은 이미 도착한 신입생들과 그들을 안내하는 학생회들로 소란스럽습니다.$$“아아… 사이버 아카데미 학생 여러분의 입학을 진심으로 축하합니다.$이런 말이 있습니다. 가장 높은 곳에 가기 위해서는, 가장 낮은 곳에서 시작하라.$에.. 여러분은 모두 웅대한 꿈을 가지고 아카데미에 왔을 것이고, 또 그 꿈을 이룰만한 능력도 있을 것입니다...”",m1_8,-,0,null,-,-,0
M1_6,"“거기 여스, 여덟,,, 아홉번째 줄 너 나와. 그래. 방금 뒤돌아 본 놈 너. 옆에 쌤통이다 했던 놈도 같이 나와.”$$다행히 앞에서 졸던 다른 학생이 호명되었습니다. 이제는 정신을 차려야겠습니다.$$“…해서 오늘은 진행해야 할 것이 많으니 짧게 마무리하겠습니다. 남은 얘기는 앞으로 시간이 많으니 천천히 하죠.”$$세상에. 앞으로의 조례 시간이 기다려지는군요.",m1_9,-,0,null,-,-,0
M1_7,“이 짓도 매년 하려니 참으로 지치는구려.”,m1_10,-,0,null,-,-,0
M1_8,세상에 위를 보세요. 갓이 말을 하고 있습니다. 오마이 갓이에요.,m1_11,-,0,null,-,-,0
M1_9,어이구 회원님이셨구나. 회원님을 위해서 특별히 저희가 빠른 길을 준비했죠. 자 이리 오시죠.,m1_12,-,0,null,-,-,0
M1_10,"“검사를 통해 당신네들의 반을 배정할 것이오. MBTI 검사인데, Magical Balance… 뭐 그런 것이오. 이름 같은 게 어디 중한가. 이 몸이 앞으로의 학교 생활을 결정한다는 사실이 중한게지.”",m1_13,-,0,1,-,-,0
M1_11,“몇가지 질문을 할 걸세. 고민해도 달라지는 건 없을테니 바로 대답하게”,m1_14&m1_15,-,0,null,-,-,0
M1_12,"‘첫 번째 질문이오. 열심히 준비한 조별 발표 1분 전, 팀원이 아무도 오지 않았다네. 자네의 선택은?’",m1_16&m1_17&m1_18,-,0,null,-,-,0
M1_13,"‘흥미롭군. 두 번째 질문이오. 입학하면, 가장 하고 싶었던 것은 무엇인가?’",m1_19&m1_20&m1_21,지+1,0,null,-,-,0
M1_14,"‘흥미롭군. 두 번째 질문이오. 입학하면, 가장 하고 싶었던 것은 무엇인가?’",m1_19&m1_20&m1_21,무+1,0,null,-,-,0
M1_15,"‘흥미롭군. 두 번째 질문이오. 입학하면, 가장 하고 싶었던 것은 무엇인가?’",m1_19&m1_20&m1_21,마+1,0,null,-,-,0
M1_16,‘자 그럼 마지막 질문이오. 지금 이 MBTI 검사를 받으며 무슨 생각이 들었는가?’,m1_22&m1_23&m1_24,지+1,0,null,-,-,0
M1_17,‘자 그럼 마지막 질문이오. 지금 이 MBTI 검사를 받으며 무슨 생각이 들었는가?’,m1_22&m1_23&m1_24,마+1,0,null,-,-,0
M1_18,‘자 그럼 마지막 질문이오. 지금 이 MBTI 검사를 받으며 무슨 생각이 들었는가?’,m1_22&m1_23&m1_24,무+1,0,null,-,-,0
M1_19,“어디보자... 그렇구만.”,m1_25,무+1,0,null,-,-,0
M1_20,“어디보자... 그렇구만.”,m1_25,마+1,0,null,-,-,0
M1_21,“어디보자... 그렇구만.”,m1_25,지+1,0,null,-,-,0
M1_22,"“자네가 가장 높은 능력치에 따라 학부를 선택하는게 좋을거야. 무력이 높으면 기사학부, 마력이 높으면 마법학부, 지력이 높으면 관료학부지.$아, 이게 절대적인 건 아니네. 언제까지나 추천에 불과하지. 선택은 자네의 몫일세.$어쩌겠는가?”",m1_26&m1_27&m1_28,-,0,null,-,0#+1,0
M1_23,"“좋네. 어떤 선택이든 존중받을 가치가 있지. 앞으로의 학창 생활을 응원하겠네”$$선택을 마친 당신은 턱 끈을 흔들며 인사하는 갓을 벗고, 안내에 따라 당신의 반을 향해 다가갑니다.",m1_29,기사,0,null,-,-,0
M1_24,"“좋네. 어떤 선택이든 존중받을 가치가 있지. 앞으로의 학창 생활을 응원하겠네”$$선택을 마친 당신은 턱 끈을 흔들며 인사하는 갓을 벗고, 안내에 따라 당신의 반을 향해 다가갑니다.",m1_30,마법,0,null,-,-,0
M1_25,"“좋네. 어떤 선택이든 존중받을 가치가 있지. 앞으로의 학창 생활을 응원하겠네”$$선택을 마친 당신은 턱 끈을 흔들며 인사하는 갓을 벗고, 안내에 따라 당신의 반을 향해 다가갑니다.",m1_31,관료,0,null,-,-,0
M2_1,기사학부를… 몰라보기는 어렵겠군요.$저런 근육덩어리들이 모여있는 곳이 마법학부일리는 없으니까요.$당신은 조심스레 줄의 맨 뒤로 향합니다.$자칫 부딪혔다간 무지막지한 전면 삼각근에 산산조각이 나버릴 수도 있으니까요,m2_1,-,0,null,-,-,0
