StoryID,StoryText,StoryNext,StoryResult,StoryInterval,Sprite,AfterInterval,AcvUpdate,Probability,EndingTrigger
1#PM1_1,"가만, 동아리 가입 마감이 오늘까지였죠.$게시판을 보니 동아리마다 붙여놓은 형형색색의 홍보물들이 눈에 띕니다.$$“아카데미와 중립지대를 이끄는 인재의 길, 경제학회”$“누구보다 빠르게 남들과는 다르게! 승마 동아리와 함께 달리자!”$“약 주고 용돈 받고. 공부와 용돈벌이를 동시에? 제약 동아리에선 가능하다!!”",pm1_1&pm1_2&pm1_3,-,0,null,-,-,14,0
1#PM1_2,"세상에 돈으로 살 수 없는 건 없죠.$있다구요? 돈이 부족한게 아니구요?$이래서 경제 공부를 해야된다는 겁니다.$$“경제학회 좋지. 공부도 하고, 친구도 사귀고. 거기다 예쁘고 성격 좋은 선배도 있으니까”$$어디서 본 것 같은데… 이름이 설원이었나. 학생회장 말이에요.$무척 당황하고 있던 차에 갑자기 한 무리의 학생들이 설원을 둘러쌉니다.$$“선배님! 저 경제학회에 관심 있는데요…!”$“앗, 저도요!”$“저기 선배님…”$$1열을 사수하려는 극성 학생들 때문에 당신은 벽으로 주르륵 밀려나고 맙니다.$이거… 동아리에 자리가 남아있긴 할까요?",pm1_4,-,0,null,-,-,0,0
1#PM1_3,"승마라.. 그거 재밌을 것 같은데…$$“그치? 난 승마 좋아해서 여기로 가입하려고. 너도 같이 하면 더 좋을 것 같아!! 여기 가입하면 우리 랑이랑 더 자주 놀 수 있겠다! 아, 랑이는 어릴 때부터 함께한 내 말이야. 나중에 한 번 소개시켜줄게. 우리 랑이는…”$$전 솔의 TMI 폭격에 정신이 아득해집니다.$그리고 어느새 당신의 손엔 승마 동아리 입부 신청서가 들려 있습니다.$$“진짜 재밌을 것 같아! 그치? 우리 랑이랑 같이 놀면…”$$아. 아직 안 끝났군요.",pm1_4,-,0,null,-,-,0,0
1#PM1_4,"마법약이 용돈벌이에 쏠쏠하다는 사실을 잘 알고 있기에 선택은 어렵지 않았습니다.$다들 당신과 비슷한 생각을 했는지 동아리실이 꽤 북적이는군요.$입부 신청서를 찾고 있는데, 앞에 서있던 사람들이 순식간에 양 옆으로 갈라집니다.$$“...잠시 실례하지.”$$굳은 표정의 아이작이 신청서를 내곤 돌아섭니다.$덜컥. 그가 문을 닫고 나가자 방금까지의 정적은 존재하지도 않았다는 듯 다시 소란스러워집니다.$짧은 등장만으로도 동아리실을 얼음장으로 만들다니…$이런 동기와 함께하는 동아리, 과연 괜찮을까요??",pm1_4,-,0,null,-,-,0,0
2#PM1_1,당신은 민회의 부대표로서 학생회에 참여하게 되었습니다.$$“긴장할 필요 없어. 오늘은 얼굴만 익히는 자리니까.”$$이재희는 당신의 어깨를 살짝 치고는 학생회실로 들어갑니다.$뭐해요? 어서 들어갑시다.,pm1_5&pm1_6,-,0,null,-,-,12,0
2#PM1_2,"“안녕하세..”$$“앗, 오셨네! 안녕하세요! 민회 부대표 맞죠? 전부터 궁금했는데.. 만나서 반가워요! 저는 유오수라고 하는데, 아니다 일단 이것부터 먼저 골라보실래요?”$$문턱을 넘어서자마자 발랄한 음성이 쏟아집니다.$정신을 차릴 새도 없이, 민트색 머리를 한 유오수가 세 가지 맛의 사탕을 당신의 눈 앞에 들이밉니다.",pm1_7&pm1_8&pm1_9,-,0,null,-,-,0,0
2#PM1_3,“딸기… 좋아하시는구나. 맛있긴 한데 너무 흔하지 않아요?”$$아 이게 아니었나 봅니다. 아무래도 정해진 답이 있는 모양이에요.,pm1_10,-,0,null,-,-,0,0
2#PM1_4,“콜라…좋아하시는구나. 맛있긴 한데 색이 좀 칙칙하지 않아요?”$$아 이게 아니었나 봅니다. 아무래도 정해진 답이 있는 모양이에요.,pm1_10,-,0,null,-,-,0,0
2#PM1_5,"“민트 좋아하시는구나! 그쵸! 맛있는데 색도 너무 예뻐! 민트 최고!”$$신나서 당신의 손에 사탕을 꼭 쥐어주는 그녀를 보니, 처음부터 정답이 있는 문제였군요.$아무튼 좋아하는 것 같으니 다행입니다.$사탕을 먹으니 긴장이 조금 풀어지는 것 같기도 하고요.",pm1_11,정+1,0,null,-,1#+1,0,0
2#PM1_6,"깜짝 사탕 퀴즈 이후 학생회장 설 원의 주도로 학생회 임원들의 소개 릴레이가 이어집니다.$유오수는 관료학부 1학년 대표였네요.$기사학부의 전 솔, 마법학부의 아이작 등 아는 얼굴도 있고 모르는 얼굴도 있지만 설 원의 능수능란한 진행 덕에 쉽게 말을 틀 수 있었습니다.$나름 성공적인 데뷔군요.",pm1_12,-,0,null,-,-,0,0
