ChoiceID,ChoiceText,ChoiceNext
s1_1,무%3=보였다. 빈틈의 실! 번개 같은 속도로 앞 줄에 끼어듭니다 체+1,S1_2
s1_2,내 팔자가 그렇지 뭐. 다시 학생 식당으로 돌아갑니다. 체 -1,S1_3
s1_3,"빵 공급은 예정대로, 점심 시간 내 식사 충분. 늘어선 줄의 맨 뒤에 섭니다. 정 -1",S1_4
s1_4,다음,RANDOM
s2_1, 어? 에프다? 익살스런 농담과 함께 축 처진 어깨를 감싸 안는다.,S2_2
s2_2,저기 공기가 참 흥미로워 보이네. 자연스럽게 허공을 응시하며 걸어갑니다.,S2_3
s2_3,괜찮아. 너만 망한 거 아니야. 친구의 손을 잡아주며 진심 어린 위로를 건넨다.,S2_4
s2_4,다음,RANDOM
s3_1,하하. 솔로부대 복귀를 환영한다. 익살스럽게 농담을 건넨다. 정-1,S3_2
s3_2,많이 힘들지? 그래도 잘 헤어졌어. 사실 걔 있잖아… 정-1,S3_3
s3_3,지%3=어이 친구. 아침부터 왜 이렇게 죽상이야. 정+1,S3_4
s3_4,다음,RANDOM
